folder,seed,K_r_lmp,K_theta_lmp,k_phys,alpha_hat_dump,alpha_hat_temp,k_hat_dump,k_hat_temp,dump_bond_idx,N_frames
k_r0.2_k_theta1.0Seed54654651,54654651,0.2,1.0,0.4,9.14039098284885,9.042607432820127,18.2807819656977,18.085214865640253,1,8001
k_r0.2_k_theta1.0Seed54654653,54654653,0.2,1.0,0.4,9.254009000952035,9.180227406284324,18.50801800190407,18.360454812568648,1,8001
k_r0.2_k_theta1.0Seed54654659,54654659,0.2,1.0,0.4,9.800139034096558,9.71693020720368,19.600278068193116,19.43386041440736,0,8001
k_r0.2_k_theta1.0Seed54654661,54654661,0.2,1.0,0.4,9.287338541636784,9.312048330765426,18.574677083273567,18.624096661530853,0,8001
k_r0.2_k_theta1.0Seed54654685,54654685,0.2,1.0,0.4,9.742744385109168,9.565088946118495,19.485488770218335,19.13017789223699,1,8001
k_r0.2_k_theta10.0Seed54654651,54654651,0.2,10.0,0.4,8.986603778571542,8.806570187532582,17.973207557143084,17.613140375065164,1,8001
k_r0.2_k_theta10.0Seed54654653,54654653,0.2,10.0,0.4,9.045531762973086,8.866230130275843,18.091063525946172,17.732460260551687,1,8001
k_r0.2_k_theta10.0Seed54654659,54654659,0.2,10.0,0.4,9.52526454724055,9.474639776625054,19.0505290944811,18.949279553250108,0,8001
k_r0.2_k_theta10.0Seed54654661,54654661,0.2,10.0,0.4,9.415530083009005,9.440357108989623,18.83106016601801,18.880714217979246,1,8001
k_r0.2_k_theta10.0Seed54654685,54654685,0.2,10.0,0.4,9.55321116275327,9.615628452315045,19.10642232550654,19.23125690463009,1,8001
k_r0.2_k_theta13.0Seed54654651,54654651,0.2,13.0,0.4,9.498011253779596,9.477564158859442,18.996022507559193,18.955128317718884,1,8001
k_r0.2_k_theta13.0Seed54654653,54654653,0.2,13.0,0.4,8.722730683559265,8.744231370463599,17.44546136711853,17.488462740927197,0,8001
k_r0.2_k_theta13.0Seed54654659,54654659,0.2,13.0,0.4,9.737160660285804,9.64056336117114,19.474321320571608,19.28112672234228,1,8001
k_r0.2_k_theta13.0Seed54654661,54654661,0.2,13.0,0.4,9.169216682105846,9.439989825885355,18.338433364211692,18.87997965177071,1,8001
k_r0.2_k_theta13.0Seed54654685,54654685,0.2,13.0,0.4,9.685139563662087,9.73633586943203,19.370279127324174,19.47267173886406,1,8001
k_r0.2_k_theta4.0Seed54654651,54654651,0.2,4.0,0.4,8.832001285928184,8.73017842585325,17.66400257185637,17.4603568517065,1,8001
k_r0.2_k_theta4.0Seed54654653,54654653,0.2,4.0,0.4,9.230771249582364,9.19326531454022,18.46154249916473,18.38653062908044,0,8001
k_r0.2_k_theta4.0Seed54654659,54654659,0.2,4.0,0.4,9.730829347348742,9.897382418693354,19.461658694697483,19.794764837386708,1,8001
k_r0.2_k_theta4.0Seed54654661,54654661,0.2,4.0,0.4,9.623298795706962,9.56834603453656,19.246597591413924,19.13669206907312,1,8001
k_r0.2_k_theta4.0Seed54654685,54654685,0.2,4.0,0.4,9.793621316330455,9.810365693773921,19.58724263266091,19.620731387547842,1,8001
k_r0.2_k_theta7.0Seed54654651,54654651,0.2,7.0,0.4,9.429204267153578,9.498400209676742,18.858408534307156,18.996800419353484,1,8001
k_r0.2_k_theta7.0Seed54654653,54654653,0.2,7.0,0.4,9.182076235145484,9.100855202941865,18.364152470290968,18.20171040588373,1,8001
k_r0.2_k_theta7.0Seed54654659,54654659,0.2,7.0,0.4,9.815442125221043,9.871270199098378,19.630884250442087,19.742540398196756,0,8001
k_r0.2_k_theta7.0Seed54654661,54654661,0.2,7.0,0.4,9.187389203366026,9.128334504534662,18.37477840673205,18.256669009069324,0,8001
k_r0.2_k_theta7.0Seed54654685,54654685,0.2,7.0,0.4,9.73797475423475,9.804997126392697,19.4759495084695,19.609994252785395,0,8001
k_r1.2_k_theta1.0Seed54654651,54654651,1.2,1.0,2.4,9.324687239010608,9.083111508962839,18.649374478021215,18.166223017925677,1,8001
k_r1.2_k_theta1.0Seed54654653,54654653,1.2,1.0,2.4,9.450136465882991,9.37254394046085,18.900272931765983,18.7450878809217,1,8001
k_r1.2_k_theta1.0Seed54654659,54654659,1.2,1.0,2.4,9.92250315865755,9.70630140494177,19.8450063173151,19.41260280988354,0,8001
k_r1.2_k_theta1.0Seed54654661,54654661,1.2,1.0,2.4,9.471102297677955,9.486772874503798,18.94220459535591,18.973545749007595,0,8001
k_r1.2_k_theta1.0Seed54654685,54654685,1.2,1.0,2.4,9.858915839974927,9.701205914076064,19.717831679949853,19.40241182815213,1,8001
