,K_r,K_theta,sigma_r,sigma_t,lengths,angles
0,0.0,0.0,0.24779109937303512,0.27003244334106835,[2.       2.000005 2.       ... 2.098522 2.098439 2.098373],[180.     179.999  179.996  ...  88.5033  88.4975  88.4911]
1,0.0,1.0,0.20625888964387123,0.15914183295110018,[2.       2.000005 2.       ... 2.83575  2.83591  2.83602 ],[180.    179.999 179.996 ... 105.528 105.565 105.603]
12,0.0,2.0,0.22329009520921758,0.19266314063590242,[2.       2.000005 2.       ... 2.418672 2.419486 2.42029 ],[180.    179.999 179.996 ... 122.585 122.664 122.744]
14,0.0,3.0,0.2219855348388988,0.09413290419005609,[2.       2.000005 2.       ... 2.46917  2.46862  2.46808 ],[180.    179.999 179.996 ... 163.814 163.877 163.94 ]
15,0.0,4.0,0.2912265754186636,0.07608928358360931,[2.       2.000005 2.       ... 2.132075 2.1324   2.132747],[180.    179.999 179.996 ... 163.685 163.593 163.501]
16,0.0,5.0,0.2221721941098501,0.08063033207872605,[2.       2.000005 2.       ... 2.75818  2.75864  2.75909 ],[180.    179.999 179.996 ... 160.633 160.757 160.882]
17,0.0,6.0,0.24044056021963126,0.09831252414774996,[2.       2.000005 2.       ... 2.59837  2.59982  2.60128 ],[180.    179.999 179.996 ... 159.717 159.629 159.538]
18,0.0,7.0,0.2173380508732787,0.07139596704385603,[2.       2.000005 2.       ... 2.81706  2.81839  2.81975 ],[180.    179.999 179.996 ... 160.657 160.586 160.515]
19,0.0,8.0,0.21204914091944121,0.05683096285473006,[2.       2.000005 2.       ... 2.580369 2.581388 2.582415],[180.    179.999 179.996 ... 139.102 138.992 138.882]
20,0.0,9.0,0.2194571543922689,0.05434543014301757,[2.       2.000005 2.       ... 2.42004  2.42141  2.42279 ],[180.    179.999 179.996 ... 164.288 164.407 164.525]
2,0.0,10.0,0.19407858223394117,0.06242700839061077,[2.       2.000005 2.       ... 2.85108  2.85216  2.85325 ],[180.    179.999 179.996 ... 162.015 162.033 162.052]
3,0.0,11.0,0.20082386077557265,0.06434092898938379,[2.       2.000005 2.       ... 2.93551  2.93711  2.93871 ],[180.    179.999 179.996 ... 152.42  152.425 152.429]
4,0.0,12.0,0.2124138504316599,0.06235887004736392,[2.       2.000005 2.       ... 2.8763   2.87672  2.87715 ],[180.    179.999 179.996 ... 165.657 165.788 165.919]
5,0.0,13.0,0.23262338573415653,0.051110817858722464,[2.       2.000005 2.       ... 2.71847  2.7201   2.72175 ],[180.    179.999 179.996 ... 168.295 168.183 168.07 ]
6,0.0,14.0,0.21058684790966992,0.05565326602324479,[2.       2.000005 2.       ... 2.8252   2.82696  2.82871 ],[180.    179.999 179.996 ... 155.885 155.796 155.708]
7,0.0,15.0,0.2041678147738467,0.0425465631536631,[2.       2.000005 2.       ... 2.80467  2.80615  2.80764 ],[180.    179.999 179.996 ... 156.446 156.429 156.413]
8,0.0,16.0,0.22124616620968166,0.037976687994936,[2.       2.000005 2.       ... 2.63655  2.63737  2.6382  ],[180.    179.999 179.996 ... 171.932 171.945 171.958]
9,0.0,17.0,0.20351220799566355,0.03747730445556903,[2.       2.000005 2.       ... 2.372662 2.372715 2.372768],[180.    179.999 179.996 ... 170.509 170.567 170.626]
10,0.0,18.0,0.27913325900930175,0.028160661225409934,[2.       2.000005 2.       ... 2.32012  2.32128  2.32246 ],[180.    179.999 179.996 ... 171.539 171.583 171.625]
11,0.0,19.0,0.22596257758772925,0.0298189030711701,[2.       2.000005 2.       ... 2.7949   2.79621  2.79752 ],[180.    179.999 179.996 ... 165.582 165.529 165.477]
13,0.0,20.0,0.22765592844201696,0.02211228016318345,[2.       2.000005 2.       ... 2.7153   2.71652  2.71775 ],[180.    179.999 179.996 ... 165.385 165.397 165.408]
210,5.0,0.0,0.17041059592865135,0.16687422820423584,[2.       2.000005 2.       ... 2.80581  2.80652  2.80728 ],[180.    179.999 179.996 ... 118.324 118.335 118.345]
211,5.0,1.0,0.18360847163110708,0.13541479938730713,[2.       2.000005 2.       ... 2.92382  2.92466  2.92552 ],[180.    179.999 179.996 ... 140.611 140.577 140.543]
222,5.0,2.0,0.2006533925943263,0.10743504675813051,[2.       2.000005 2.       ... 2.421969 2.422934 2.423898],[180.    179.999 179.996 ... 145.259 145.173 145.086]
224,5.0,3.0,0.19008485986093424,0.0947880824847273,[2.       2.000005 2.       ... 2.455195 2.455287 2.455397],[180.    179.999 179.996 ... 130.118 130.216 130.314]
225,5.0,4.0,0.22095593599933716,0.07963608176103645,[2.       2.000005 2.       ... 2.376408 2.377758 2.379102],[180.    179.999 179.996 ... 146.636 146.54  146.444]
226,5.0,5.0,0.19206929332540393,0.07863204677539587,[2.       2.000005 2.       ... 2.087237 2.086968 2.086712],[180.    179.999 179.996 ... 164.328 164.468 164.609]
227,5.0,6.0,0.18815483633014418,0.05182660883269884,[2.       2.000005 2.       ... 2.61281  2.61307  2.61334 ],[180.    179.999 179.996 ... 140.475 140.459 140.441]
228,5.0,7.0,0.19185772790331074,0.06897044215339468,[2.       2.000005 2.       ... 2.31615  2.31651  2.31688 ],[180.    179.999 179.996 ... 156.703 156.678 156.654]
229,5.0,8.0,0.1903641313808195,0.03619740188430555,[2.       2.000005 2.       ... 2.46332  2.46346  2.46361 ],[180.    179.999 179.996 ... 160.722 160.704 160.686]
230,5.0,9.0,0.1920771287447612,0.035350557637506115,[2.       2.000005 2.       ... 2.46675  2.46694  2.46715 ],[180.    179.999 179.996 ... 159.038 159.019 158.999]
212,5.0,10.0,0.19200255276941522,0.035693324438618106,[2.       2.000005 2.       ... 2.49946  2.4996   2.49975 ],[180.    179.999 179.996 ... 156.08  156.084 156.087]
213,5.0,11.0,0.19087749663674,0.03666852766797934,[2.       2.000005 2.       ... 2.47964  2.47963  2.47963 ],[180.    179.999 179.996 ... 160.306 160.35  160.394]
214,5.0,12.0,0.19360316554099166,0.035202966220406966,[2.       2.000005 2.       ... 2.4264   2.42644  2.42648 ],[180.    179.999 179.996 ... 166.922 166.977 167.031]
215,5.0,13.0,0.20112657931815262,0.0351811587688195,[2.       2.000005 2.       ... 2.4063   2.40637  2.40643 ],[180.    179.999 179.996 ... 170.101 170.158 170.215]
216,5.0,14.0,0.203574822337379,0.03574553397318352,[2.       2.000005 2.       ... 2.43228  2.43237  2.43247 ],[180.    179.999 179.996 ... 171.774 171.827 171.88 ]
217,5.0,15.0,0.19975374622311584,0.03519377723690086,[2.       2.000005 2.       ... 2.51515  2.51527  2.51538 ],[180.    179.999 179.996 ... 168.882 168.907 168.932]
218,5.0,16.0,0.19432005447080025,0.04291779261604684,[2.       2.000005 2.       ... 2.84298  2.84385  2.84474 ],[180.    179.999 179.996 ... 159.545 159.533 159.519]
219,5.0,17.0,0.18573307444978518,0.0389893996462435,[2.       2.000005 2.       ... 2.85483  2.85594  2.85707 ],[180.    179.999 179.996 ... 158.231 158.163 158.095]
220,5.0,18.0,0.17497375377360805,0.03200982527719994,[2.       2.000005 2.       ... 2.68013  2.68066  2.68121 ],[180.    179.999 179.996 ... 162.084 162.071 162.06 ]
221,5.0,19.0,0.17071311022863003,0.030000804357253885,[2.       2.000005 2.       ... 2.72378  2.72445  2.72514 ],[180.    179.999 179.996 ... 161.078 161.057 161.036]
223,5.0,20.0,0.17453891301935553,0.03133508420453989,[2.       2.000005 2.       ... 2.67152  2.67169  2.67187 ],[180.    179.999 179.996 ... 168.552 168.505 168.46 ]
21,10.0,0.0,0.12337156355647755,0.18081185233726352,[2.       2.000005 2.       ... 2.27711  2.27745  2.2778  ],[180.    179.999 179.996 ... 123.417 123.364 123.311]
22,10.0,1.0,0.1879066761381468,0.18824441140602574,[2.       2.000005 2.       ... 1.926251 1.926691 1.927141],[180.    179.999 179.996 ... 131.789 131.897 132.004]
33,10.0,2.0,0.17919513992494185,0.13530828682684606,[2.       2.000005 2.       ... 2.96486  2.96458  2.96431 ],[180.    179.999 179.996 ... 116.042 116.134 116.225]
35,10.0,3.0,0.17871929999256292,0.10359007147122677,[2.       2.000005 2.       ... 2.70999  2.71073  2.71149 ],[180.    179.999 179.996 ... 160.736 160.797 160.856]
36,10.0,4.0,0.17525866465739215,0.08539859763457772,[2.       2.000005 2.       ... 2.75102  2.75106  2.75113 ],[180.    179.999 179.996 ... 147.671 147.801 147.932]
37,10.0,5.0,0.16435457956641325,0.04862840505146291,[2.       2.000005 2.       ... 2.50718  2.50672  2.50628 ],[180.    179.999 179.996 ... 161.86  161.884 161.906]
38,10.0,6.0,0.17145544570235638,0.04360000018314123,[2.       2.000005 2.       ... 2.82655  2.82703  2.82752 ],[180.    179.999 179.996 ... 154.212 154.263 154.314]
39,10.0,7.0,0.16591371381730818,0.03915686422388658,[2.       2.000005 2.       ... 2.5752   2.57496  2.57474 ],[180.    179.999 179.996 ... 165.833 165.813 165.793]
40,10.0,8.0,0.17383450440814577,0.05115882515346512,[2.       2.000005 2.       ... 2.77084  2.77065  2.77049 ],[180.    179.999 179.996 ... 158.547 158.478 158.408]
41,10.0,9.0,0.17114171410570256,0.037267551310317795,[2.       2.000005 2.       ... 2.82527  2.82563  2.82601 ],[180.    179.999 179.996 ... 171.378 171.475 171.572]
23,10.0,10.0,0.17344342521294598,0.03483429635912106,[2.       2.000005 2.       ... 2.83857  2.83899  2.83944 ],[180.    179.999 179.996 ... 171.086 171.117 171.146]
24,10.0,11.0,0.16907419963438228,0.032991409215821166,[2.       2.000005 2.       ... 2.60133  2.60087  2.60042 ],[180.    179.999 179.996 ... 164.165 164.189 164.213]
25,10.0,12.0,0.16935839750153306,0.03511443319545982,[2.       2.000005 2.       ... 2.64392  2.64343  2.64295 ],[180.    179.999 179.996 ... 161.681 161.714 161.746]
26,10.0,13.0,0.17113144381416961,0.036358747258046074,[2.       2.000005 2.       ... 2.90314  2.90392  2.90472 ],[180.    179.999 179.996 ... 162.123 162.062 162.001]
27,10.0,14.0,0.16687172108407827,0.031545263677773154,[2.       2.000005 2.       ... 2.86001  2.86051  2.86102 ],[180.    179.999 179.996 ... 164.036 164.027 164.018]
28,10.0,15.0,0.16332072615739082,0.027026652895092963,[2.       2.000005 2.       ... 2.80512  2.80562  2.80613 ],[180.    179.999 179.996 ... 170.695 170.684 170.673]
29,10.0,16.0,0.15977848673457942,0.03322378122754983,[2.       2.000005 2.       ... 2.60957  2.60935  2.60913 ],[180.    179.999 179.996 ... 168.037 168.012 167.988]
30,10.0,17.0,0.16162042708802343,0.033742957278867176,[2.       2.000005 2.       ... 2.623432 2.623164 2.622906],[180.    179.999 179.996 ... 166.786 166.799 166.812]
31,10.0,18.0,0.16447959994886674,0.032663069424988034,[2.       2.000005 2.       ... 2.620479 2.620178 2.619877],[180.    179.999 179.996 ... 170.248 170.315 170.383]
32,10.0,19.0,0.16882438990090054,0.030440262662002168,[2.       2.000005 2.       ... 2.60256  2.60244  2.60232 ],[180.    179.999 179.996 ... 177.681 177.596 177.508]
34,10.0,20.0,0.1788417182735054,0.03282553073388058,[2.       2.000005 2.       ... 2.94785  2.9485   2.94916 ],[180.    179.999 179.996 ... 160.518 160.522 160.526]
63,15.0,0.0,0.0759962177837954,0.1927309179766492,[2.       2.000005 2.       ... 2.304014 2.30388  2.303748],[180.     179.999  179.996  ...  75.4572  75.4556  75.4542]
64,15.0,1.0,0.13432625227084555,0.10597320315304048,[2.       2.000005 2.       ... 2.384921 2.385262 2.385608],[180.    179.999 179.996 ... 171.232 171.168 171.1  ]
75,15.0,2.0,0.17796761323330237,0.12446448410949543,[2.       2.000005 2.       ... 2.39779  2.39625  2.39473 ],[180.    179.999 179.996 ... 152.82  152.972 153.124]
