K_r phys,K_theta phys,monomer lengths,angle_deg,types,bond lengths
2.0,2.0,[2.       2.079606 2.791974 ... 3.73589  2.87921  2.619012],[180.    165.924 149.651 ... 127.172 150.029 171.413],"[[1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 ...
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]]","[[1.       1.76572  1.903    ... 1.89783  1.18254  0.945472]
 [1.       0.313886 0.888974 ... 1.83806  1.69667  1.67354 ]]"
2.0,8.0,[2.       2.103707 2.88173  ... 3.38673  2.98409  2.923661],[180.    159.844 164.142 ... 162.134 155.363 156.499],"[[1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 ...
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]]","[[1.       1.74796  1.71551  ... 1.77741  1.59691  1.94254 ]
 [1.       0.355747 1.16622  ... 1.60932  1.38718  0.981121]]"
2.0,14.0,[2.       2.096182 2.88565  ... 3.05931  2.66666  2.627694],[180.    175.083 166.789 ... 162.171 165.687 166.838],"[[1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 ...
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]]","[[1.       1.73347  1.71067  ... 1.50186  1.36364  1.8456  ]
 [1.       0.362712 1.17498  ... 1.55745  1.30302  0.782094]]"
2.0,20.0,[2.       2.103214 2.8635   ... 3.34854  2.93804  2.853446],[180.    167.811 171.301 ... 164.585 163.093 169.594],"[[1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 ...
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]]","[[1.       1.73335  1.7269   ... 1.9636   1.1253   0.803906]
 [1.       0.369864 1.1366   ... 1.38494  1.81274  2.04954 ]]"
2.0,26.0,[2.       2.105032 2.8516   ... 3.36477  2.93348  2.904301],[180.    165.392 171.748 ... 160.429 177.091 171.978],"[[1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 ...
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]]","[[1.       1.73614  1.74005  ... 1.96496  1.08347  0.869061]
 [1.       0.368892 1.11155  ... 1.39981  1.85001  2.03524 ]]"
12.0,2.0,[2.       2.199466 2.68544  ... 1.933268 2.138928 2.44878 ],[180.    175.706 153.659 ... 147.29  173.226 139.513],"[[1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 ...
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]]","[[1.       1.35491  1.1898   ... 0.916488 0.910748 1.12471 ]
 [1.       0.844556 1.49564  ... 1.01678  1.22818  1.32407 ]]"
12.0,8.0,[2.      2.2217  2.66198 ... 2.0924  2.26388 2.45155],[180.    165.745 161.447 ... 148.847 154.868 147.85 ],"[[1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 ...
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]]","[[1.      1.3515  1.18993 ... 0.9634  1.02272 1.05492]
 [1.      0.8702  1.47205 ... 1.129   1.24116 1.39663]]"
12.0,14.0,[2.       2.221006 2.65075  ... 2.111393 2.30763  2.36555 ],[180.    168.081 169.466 ... 161.009 160.284 175.852],"[[1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 ...
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]]","[[1.       1.34604  1.19528  ... 0.962373 1.04097  1.11312 ]
 [1.       0.874966 1.45547  ... 1.14902  1.26666  1.25243 ]]"
12.0,20.0,[2.       2.214592 2.66835  ... 2.09622  2.32044  2.48654 ],[180.    174.602 164.794 ... 163.339 156.791 158.965],"[[1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 ...
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]]","[[1.       1.34118  1.2085   ... 1.00086  1.0538   1.07643 ]
 [1.       0.873412 1.45985  ... 1.09536  1.26664  1.41011 ]]"
12.0,26.0,[2.       2.213331 2.65906  ... 2.66527  2.14903  2.28169 ],[180.    177.925 168.156 ... 166.483 162.571 162.013],"[[1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 ...
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]]","[[1.       1.34055  1.20616  ... 1.31608  1.13029  1.13579 ]
 [1.       0.872781 1.4529   ... 1.34919  1.01874  1.1459  ]]"
