,K_r,K_theta,r mean,r sem,r std,r std sem,theta mean,theta sem,lengths,angles
0,0.4,2.0,2.258339991616767,0.045121700669983,0.5994305760669927,0.011976640862816622,2.2960611793021597,0.045875371129690014,[2.       3.011559 2.683768 ... 2.07278  2.155534 2.16797 ],[180.     140.885   79.0863 ...  92.954  101.639  173.094 ]
1,0.4,8.0,299.8303412457884,5.990619198035761,264.5441044760357,5.285599130550229,2.2020937696951366,0.043997899471409564,[2.       2.951166 1.870323 ... 1.685091 2.09333  2.13667 ],[180.    175.156 168.49  ... 167.091 163.108 172.59 ]
2,0.4,14.0,134.3389000437924,2.6840952463367618,224.1344976856499,4.478213976607067,2.44793113093318,0.04890973731179611,[2.       2.964753 1.821429 ... 2.048277 2.68522  1.6228  ],[180.    175.486 169.858 ... 160.092 152.706 167.2  ]
3,0.4,20.0,79.55770047017964,1.589565238154267,188.01027280194353,3.7564508815069235,2.68441740837715,0.05363474021791131,[2.       2.990951 1.946917 ... 2.165464 2.49219  1.927558],[180.    173.848 164.773 ... 173.878 173.297 141.838]
4,0.4,26.0,94.17665092495011,1.881652306079424,197.32307091262507,3.9425208666774574,2.6640983850324864,0.0532287655229284,[2.       2.958401 1.8399   ... 2.203388 2.4919   1.787236],[180.    177.011 166.887 ... 167.297 171.981 161.405]
5,2.4,2.0,2.207946767265469,0.0441148425381626,0.3575920722010409,0.007144700312490592,2.3236441780953747,0.046426480271691675,[2.       2.933921 1.752702 ... 2.07086  2.149819 2.16726 ],[180.     141.518  137.382  ...  92.7423 101.758  172.894 ]
6,2.4,8.0,2.2096622990019963,0.044149118913638735,0.37497721141790324,0.00749205591472994,2.7015718627770884,0.053977486730599475,[2.       2.901401 1.798529 ... 1.685091 2.09333  2.13667 ],[180.    162.144 172.027 ... 167.091 163.108 172.59 ]
7,2.4,14.0,2.223559606786427,0.04442678753939725,0.43760245422078586,0.008743310141563026,2.7998905465722235,0.05594189697747944,[2.       2.880369 1.856134 ... 2.048277 2.68522  1.6228  ],[180.    171.573 159.524 ... 160.092 152.706 167.2  ]
8,2.4,20.0,2.208120547704591,0.044118314676540996,0.34780675038331244,0.006949189289501135,2.8633724640714577,0.05721026759040312,[2.       2.840375 1.86052  ... 1.751272 2.057931 2.17947 ],[180.    172.096 165.913 ... 168.905 170.526 171.844]
9,2.4,26.0,2.2231630023952094,0.04441886337178238,0.4363790625881995,0.008718866740103264,2.8933350350821803,0.05780892065657897,[2.       2.840513 1.87257  ... 2.203389 2.4919   1.787236],[180.    172.857 172.064 ... 167.297 171.981 161.405]
10,4.4,2.0,2.212702688622754,0.04420986598932141,0.3397774170230522,0.0067887629684839,2.3220499674625072,0.04639462789550023,[2.       2.72716  2.227296 ... 2.07086  2.149819 2.16726 ],[180.     150.082  158.075  ...  92.7423 101.758  172.894 ]
11,4.4,8.0,2.1985268790419163,0.04392663288932954,0.310630016972893,0.006206397042514541,2.7072973390954207,0.054091881918918276,[2.       2.74143  2.150366 ... 1.685091 2.09333  2.13667 ],[180.    163.042 171.216 ... 167.091 163.108 172.59 ]
12,4.4,14.0,2.2077033349301396,0.0441099787528119,0.3221990646582617,0.0064375469617621965,2.8035547604776823,0.05601510808105404,[2.       2.69524  2.205286 ... 2.048277 2.68522  1.6228  ],[180.    176.272 167.673 ... 160.092 152.706 167.2  ]
13,4.4,20.0,2.1998450598802397,0.04395297018195887,0.3177725568971759,0.006349105204121408,2.8662695768560287,0.05726815199060763,[2.       2.69196  2.186039 ... 1.751272 2.057931 2.17947 ],[180.    170.051 172.954 ... 168.905 170.526 171.844]
14,4.4,26.0,2.208915761676647,0.0441342030755194,0.3185856795950813,0.006365351419978653,2.8977665131452714,0.05789746172100269,[2.       2.66662  2.232256 ... 2.203388 2.4919   1.787236],[180.    173.397 170.304 ... 167.297 171.981 161.405]
15,6.4,2.0,2.2087274323353294,0.04413044024963939,0.3267002135725284,0.006527480051879048,2.3271529109643367,0.04649658485950039,[2.       2.70867  2.84713  ... 2.07086  2.149819 2.16726 ],[180.     155.815  139.057  ...  92.7423 101.758  172.894 ]
16,6.4,8.0,2.2023785005988024,0.044003588403392524,0.31109144422623036,0.006215616372856008,2.70733922630073,0.05409271882653487,[2.       2.70991  2.80383  ... 1.685091 2.09333  2.13667 ],[180.    171.875 160.449 ... 167.091 163.108 172.59 ]
17,6.4,14.0,2.210012152894212,0.04415610900488336,0.32011717065493495,0.006395950657222821,2.8055412531247472,0.056054798263638024,[2.       2.70936  2.76804  ... 2.048277 2.68522  1.6228  ],[180.    167.775 177.173 ... 160.092 152.706 167.2  ]
18,6.4,20.0,2.202219598003992,0.04400041352478907,0.318960340229108,0.006372837150667627,2.8677579838877945,0.05729789040768023,[2.       2.69245  2.76677  ... 1.751272 2.057931 2.17947 ],[180.    176.707 173.138 ... 168.905 170.526 171.844]
19,6.4,26.0,2.2104191700598803,0.044164241220043615,0.3186472067295559,0.0063665807339682,2.892350564873322,0.05778925091232101,[2.       2.69435  2.75363  ... 2.203388 2.4919   1.787236],[180.    172.613 173.878 ... 167.297 171.981 161.405]
20,8.4,2.0,2.212214930538922,0.04420012056819805,0.31966003267827936,0.00638681702675792,2.3281470254236964,0.046516447296172214,[2.       2.68397  2.62135  ... 2.07086  2.149819 2.16726 ],[180.     158.209  141.86   ...  92.7423 101.758  172.894 ]
21,8.4,8.0,2.2004280890219556,0.04396461912167213,0.31067501643936235,0.006207296133202337,2.709421247332258,0.05413431766910152,[2.       2.67954  2.60269  ... 1.685091 2.09333  2.13667 ],[180.    175.857 163.563 ... 167.091 163.108 172.59 ]
22,8.4,14.0,2.2098154499002,0.04415217887317173,0.32247859197226714,0.006443131925867893,2.80662747498389,0.05607650100891614,[2.       2.69102  2.57525  ... 2.048277 2.68522  1.6228  ],[180.    167.441 178.53  ... 160.092 152.706 167.2  ]
23,8.4,20.0,2.2050552,0.04405706893759583,0.31780826557405384,0.006349818664554908,2.8689271942368393,0.05732125126547209,[2.       2.67772  2.58586  ... 1.751272 2.057931 2.17947 ],[180.    173.46  173.298 ... 168.905 170.526 171.844]
24,8.4,26.0,2.2086505293413174,0.04412890372551578,0.3152144098536849,0.00629799334957573,2.8946603426630078,0.05783540034173698,[2.       2.67584  2.58595  ... 2.203388 2.4919   1.787236],[180.    175.707 171.603 ... 167.297 171.981 161.405]
25,10.4,2.0,2.2091239796407183,0.044138363276677695,0.32099784051723734,0.006413546467447762,2.329359404976383,0.04654067067594576,[2.       2.64964  2.43779  ... 1.919222 2.16134  2.17207 ],[180.    158.816 145.399 ... 112.018 122.112 153.451]
26,10.4,8.0,2.209517615568862,0.04414622813431143,0.311961785320686,0.0062330058139900245,2.7131210039447566,0.05420823891702728,[2.       2.64011  2.43593  ... 1.685091 2.09333  2.13667 ],[180.    177.134 166.186 ... 167.091 163.108 172.59 ]
27,10.4,14.0,2.2176386359281435,0.04430848636431515,0.32440003756534186,0.006481522466364989,2.812575717324478,0.05619534706903146,[2.       2.65415  2.41476  ... 2.048277 2.68522  1.6228  ],[180.    167.926 178.075 ... 160.092 152.706 167.2  ]
28,10.4,20.0,2.2151342227544912,0.04425844811409818,0.315428778809952,0.006302276447742317,2.869391883795568,0.05733053577677299,[2.       2.64469  2.42524  ... 1.751272 2.057931 2.17947 ],[180.    172.177 173.664 ... 168.905 170.526 171.844]
29,10.4,26.0,2.21705375249501,0.04429680037580382,0.32065841257611777,0.006406764687018297,2.894193228455258,0.05782606738587603,[2.       2.64082  2.43356  ... 2.203388 2.4919   1.787236],[180.    176.654 170.409 ... 167.298 171.981 161.405]
30,12.4,2.0,2.2091350598802393,0.04413858466019518,0.32176917373446834,0.006428957728229535,2.329612385051739,0.04654572522542815,[2.       2.61125  2.277691 ... 2.07086  2.149819 2.16726 ],[180.     158.568  148.083  ...  92.7423 101.758  172.894 ]
31,12.4,8.0,2.214625442714571,0.04424828267366257,0.3085144561366987,0.006164128073646148,2.710954803000962,0.054164958157292345,[2.       2.59604  2.281018 ... 1.685091 2.09333  2.13667 ],[180.    177.584 169.102 ... 167.091 163.108 172.59 ]
32,12.4,14.0,2.214541182035928,0.04424659914277967,0.31567024453578424,0.006307100940176364,2.806523549510346,0.05607442457484215,[2.       2.61108  2.265765 ... 2.048277 2.68522  1.6228  ],[180.    168.258 177.256 ... 160.092 152.706 167.2  ]
33,12.4,20.0,2.2085363736526946,0.04412662289143813,0.31350393066323856,0.006263817924121612,2.86733343341817,0.05728940787658181,[2.       2.60375  2.274104 ... 1.751272 2.057931 2.17947 ],[180.    171.732 172.925 ... 168.905 170.526 171.844]
34,12.4,26.0,2.211441862275449,0.0441846746411404,0.31598849979453963,0.00631345968977807,2.894600102676131,0.057834196744995,[2.       2.59923  2.283836 ... 2.203388 2.4919   1.787236],[180.    176.831 170.365 ... 167.298 171.981 161.405]
